official,ticker,buy_date,sell_date,profit
"Capito, Shelley M.",JNJ,2018/04/05,2018/04/12,0.24,2018/05/03,-7.86,2018/05/31,-9.95,2018/07/26,0.19,2018/11/15,13.15,2019/04/04,5.72
"Whitehouse, Sheldon",GOOGL,2016/11/15,2016/11/22,16.02,2016/12/13,45.39,2017/01/10,53.54,2017/03/07,76.69,2017/06/27,184.42,2017/11/14,263.09
"Shalala, Donna",AVGO,2019/05/22,2019/05/29,-18.04,2019/06/19,4.38,2019/07/17,13.23,2019/09/11,24.65,2020/05/20,6.68
"Malinowski, Tom",CSLT,2019/10/21,2019/10/28,0.17,2019/11/18,-0.14,2019/12/16,-0.23,2020/02/10,-0.22,2020/06/01,-0.72,2020/10/19,-0.51
"Cassidy, William",CVS,2019/01/25,2019/02/01,-1.17,2019/02/22,-3.71,2019/03/22,-8.87,2019/05/17,-13.01,2019/09/06,-2.98,2020/01/24,6.44
"Hoeven, John",MCD,2016/08/22,2016/08/29,-0.11,2016/09/19,0.5,2016/10/17,-1.94,2016/12/12,6.56,2017/04/03,14.1,2017/08/21,42.9
"Perdue Jr., David A.",LGF-B,2018/11/16,2018/11/23,-1.37,2018/12/14,-4.26,2019/01/11,-1.4,2019/03/08,-4.05,2019/06/28,-7.49,2019/11/15,-9.85
"Hoeven, John",FB,2017/05/17,2017/05/24,2.78,2017/06/14,4.18,2017/07/12,11.14,2017/09/06,24.48,2017/12/27,30.81,2018/05/16,36.95
"Perdue Jr., David A.",KHC,2016/01/20,2016/01/27,5.99,2016/02/17,3.28,2016/03/16,7.37,2016/05/11,15.71,2016/08/31,18.81,2017/01/18,18.03
"Hoeven, John",KSS,2017/02/15,2017/02/22,-1.09,2017/03/15,-3.38,2017/04/12,-2.7,2017/06/07,-6.86,2017/09/27,3.31,2018/02/14,20.82
"Peters, Gary C.",VZ,2016/09/30,2016/10/07,-2.03,2016/10/28,-3.83,2016/11/25,-1.78,2017/01/20,0.62,2017/05/12,-6.28,2017/09/29,-2.84
"Perdue Jr., David A.",C,2018/04/24,2018/05/01,-1.66,2018/05/22,1.59,2018/06/19,-3.08,2018/08/14,0.21,2018/12/04,-6.63,2019/04/23,-0.67
"Perdue Jr., David A.",BAC,2016/03/10,2016/03/17,0.07,2016/04/07,-0.22,2016/05/05,0.96,2016/06/30,0.03,2016/10/20,3.32,2017/03/09,12.18
"Whitehouse, Sheldon",GOOGL,2014/04/29,2014/05/06,-1.98,2014/05/27,39.13,2014/06/24,45.32,2014/08/19,65.75,2014/12/09,-0.35,2015/04/28,34.01
"Shalala, Donna",SGSOY,2019/04/05,2019/04/12,0.46,2019/05/03,0.45,2019/05/31,-0.3,2019/07/26,-0.52,2019/11/15,0.26,2020/04/03,-2.83
"Whitehouse, Sheldon",BRK-B,2017/01/30,2017/02/06,-0.58,2017/02/27,6.69,2017/03/27,2.59,2017/05/22,0.64,2017/09/11,14.22,2018/01/29,52.34
"Whitehouse, Sheldon",NFLX,2015/05/07,2015/05/14,3.0,2015/06/04,8.61,2015/07/02,13.58,2015/08/27,35.51,2015/12/17,44.26,2016/05/05,10.54
"Roberts, Pat",AAPL,2015/05/28,2015/06/04,-0.45,2015/06/25,-0.8,2015/07/23,-1.37,2015/09/17,-4.11,2016/01/07,-8.32,2016/05/26,-7.97
"Murray, Patty",CMCSA,2017/03/16,2017/03/23,-0.62,2017/04/13,-0.59,2017/05/11,1.3,2017/07/06,0.58,2017/10/26,-1.42,2018/03/15,-1.68
"Perdue Jr., David A.",HON,2016/05/05,2016/05/12,0.58,2016/06/02,0.47,2016/06/30,1.84,2016/08/25,3.09,2016/12/15,3.71,2017/05/04,17.34
"Whitehouse, Sheldon",NVDA,2019/05/17,2019/05/24,-3.04,2019/06/14,-3.8,2019/07/12,2.4,2019/09/06,4.94,2019/12/27,19.68,2020/05/15,42.04
"Malinowski, Tom",CSLT,2019/10/16,2019/10/23,0.12,2019/11/13,-0.01,2019/12/11,-0.1,2020/02/05,-0.15,2020/05/27,-0.62,2020/10/14,-0.36
"Hoeven, John",CCI,2019/03/22,2019/03/29,0.77,2019/05/17,0.79,2019/07/12,6.71,2019/11/01,11.38,2020/03/20,4.47
"Whitehouse, Sheldon",BA,2017/01/24,2017/01/31,4.78,2017/02/21,15.54,2017/03/21,18.49,2017/05/16,23.21,2017/09/05,78.91,2018/01/23,177.49
"Whitehouse, Sheldon",DISH,2017/08/24,2017/08/31,-0.11,2017/09/21,-3.7,2017/10/19,-7.62,2017/12/14,-8.23,2018/04/05,-17.86,2018/08/23,-22.01
"Whitehouse, Sheldon",TMUS,2017/01/24,2017/01/31,1.81,2017/02/21,2.88,2017/03/21,2.79,2017/05/16,5.8,2017/09/05,3.77,2018/01/23,4.13
"Carper, Thomas R.",NPK,2017/08/31,2017/09/07,-3.05,2017/09/28,6.78,2017/10/26,14.25,2017/12/21,1.72,2018/04/12,-4.93,2018/08/30,33.17
"Roberts, Pat",MSFT,2019/10/23,2019/10/30,7.36,2019/11/20,13.12,2019/12/18,18.3,2020/02/12,47.32,2020/06/03,48.23,2020/10/21,78.49
"Shalala, Donna",TCEHY,2019/01/29,2019/02/05,1.34,2019/02/26,0.08,2019/03/26,1.04,2019/05/21,-0.65,2019/09/10,-0.37,2020/01/28,4.12
"Perdue Jr., David A.",SPY,2019/10/11,2019/10/18,0.77,2019/11/08,10.57,2019/12/06,17.27,2020/01/31,26.51,2020/05/22,-3.01,2020/10/09,48.68
"Beyer, Donald S.",UNH,2019/12/23,2019/12/30,0.66,2020/04/13,-32.76,2020/08/03,7.72,2020/12/21,38.84
"Perdue Jr., David A.",RF,2018/06/25,2018/07/02,-0.55,2018/07/23,-0.28,2018/08/20,1.11,2018/10/15,-1.01,2019/02/04,-2.95,2019/06/24,-3.68
"Roberts, Pat",ETY,2018/02/05,2018/02/12,0.44,2018/03/05,0.63,2018/04/02,0.38,2018/09/17,1.77,2019/02/04,-0.08
"Perdue Jr., David A.",T,2019/02/05,2019/02/12,0.3,2019/03/05,0.34,2019/04/02,2.16,2019/05/28,2.58,2019/09/17,7.43,2020/02/04,7.76
"Hoeven, John",NGG,2017/03/02,2017/03/09,-0.69,2017/03/30,2.69,2017/04/27,5.13,2017/06/22,-1.68,2017/10/12,-3.0,2018/03/01,-14.08
"Inhofe, James M.",HBI,2017/04/20,2017/04/27,0.3,2017/05/18,-1.43,2017/06/15,0.8,2017/08/10,2.04,2017/11/30,-1.14,2018/04/19,-4.2
"Perdue Jr., David A.",AMZN,2017/12/04,2017/12/11,11.85,2018/01/29,264.32,2018/03/26,376.52,2018/07/16,676.6,2018/12/03,602.57
"Roberts, Pat",NFLX,2018/04/23,2018/04/30,-10.15,2018/05/21,4.51,2018/06/18,65.68,2018/08/13,18.98,2018/12/03,-32.5,2019/04/22,44.2
"Peters, Gary C.",ABBV,2015/09/10,2015/09/17,0.64,2015/10/08,-4.03,2015/11/05,3.42,2015/12/31,0.05,2016/04/21,1.47,2016/09/08,4.28
"Perdue Jr., David A.",MRK,2017/09/29,2017/10/06,0.67,2017/10/27,-4.52,2017/11/24,-9.12,2018/01/19,-2.74,2018/05/11,-4.66,2018/09/28,6.67
"Whitehouse, Sheldon",SBUX,2016/08/18,2016/08/25,1.48,2016/09/15,-1.86,2016/10/13,-2.79,2016/12/08,3.13,2017/03/30,2.16,2017/08/17,-2.31
"Capito, Shelley M.",NKE,2016/01/21,2016/01/28,0.68,2016/02/18,-1.64,2016/03/17,2.45,2016/05/12,-2.28,2016/09/01,-2.07,2017/01/19,-6.7
"Shalala, Donna",EXEL,2019/02/06,2019/02/13,-0.33,2019/03/06,-0.11,2019/04/03,2.05,2019/05/29,-2.93,2019/09/18,-3.59,2020/02/05,-4.61
"Perdue Jr., David A.",KR,2019/08/08,2019/08/15,-1.34,2019/09/05,1.35,2019/10/03,1.27,2020/03/19,11.45,2020/08/06,11.71
"Perdue Jr., David A.",LGF-B,2018/12/11,2018/12/18,-1.38,2019/01/08,1.08,2019/02/05,0.66,2019/04/02,-0.76,2019/07/23,-4.4,2019/12/10,-7.0
"Roberts, Pat",BAC,2017/12/13,2017/12/20,0.51,2018/01/10,1.39,2018/02/07,2.16,2018/04/04,0.33,2018/07/25,1.76,2018/12/12,-4.45
"Perdue Jr., David A.",LYV,2016/01/29,2016/02/05,-1.7,2016/02/26,-0.69,2016/05/20,0.42,2016/09/09,3.81,2017/01/27,5.67
"Perdue Jr., David A.",AR,2015/01/14,2015/01/21,1.39,2015/02/11,4.28,2015/03/11,-0.04,2015/05/06,8.41,2015/08/26,-13.79,2016/01/13,-15.72
"Perdue Jr., David A.",RF,2017/05/18,2017/05/25,0.27,2017/06/15,0.47,2017/07/13,0.71,2017/09/07,-0.7,2017/12/28,3.32,2018/05/17,5.21
"Collins, Susan M.",TMO,2018/06/04,2018/06/11,3.98,2018/07/02,-8.29,2018/07/30,17.42,2018/09/24,28.93,2019/01/14,23.34,2019/06/03,54.68
"Hoeven, John",SBUX,2017/04/21,2017/04/28,-0.84,2017/05/19,0.51,2017/06/16,-0.61,2017/08/11,-7.2,2017/12/01,-3.34,2018/04/20,-1.93
"Reed, John F.",WETF,2016/11/23,2016/11/30,0.18,2016/12/21,1.29,2017/01/18,-0.13,2017/03/15,-1.68,2017/07/05,-0.55,2017/11/22,0.52
"Whitehouse, Sheldon",NWL,2016/02/12,2016/02/19,3.1,2016/03/11,6.52,2016/04/08,10.04,2016/06/03,13.37,2016/09/23,18.17,2017/02/10,12.45
"Murray, Patty",TAP,2017/03/16,2017/03/23,-0.57,2017/04/13,-2.97,2017/05/11,-5.06,2017/07/06,-11.61,2017/10/26,-16.89,2018/03/15,-16.86
"Roberts, Pat",ETY,2015/03/06,2015/03/13,-0.22,2015/05/01,-0.13,2015/06/26,-0.03,2015/10/16,-0.28,2016/03/04,-1.21
"Reed, John F.",ADI,2017/06/19,2017/06/26,0.46,2017/07/17,0.85,2017/08/14,-1.18,2017/10/09,7.23,2018/01/29,12.88,2018/06/18,20.0
"Capito, Shelley M.",CB,2018/04/05,2018/04/12,-1.31,2018/05/03,-5.72,2018/05/31,-4.87,2018/07/26,0.55,2018/11/15,-8.22,2019/04/04,0.62
"Perdue Jr., David A.",PAA,2016/09/13,2016/09/20,0.2,2016/10/11,4.55,2016/11/08,1.78,2017/01/03,4.91,2017/04/25,2.66,2017/09/12,-5.65
"Perdue Jr., David A.",BAC,2016/04/15,2016/04/22,0.88,2016/06/10,-0.24,2016/08/05,0.79,2016/11/25,6.57
"Capito, Shelley M.",AAPL,2016/03/22,2016/03/29,0.02,2016/04/19,0.22,2016/05/17,-3.1,2016/07/12,-2.21,2016/11/01,1.47,2017/03/21,8.75
"DelBene, Suzan K.",MSFT,2019/12/31,2020/01/07,1.38,2020/01/28,7.3,2020/02/25,14.13,2020/04/21,12.78,2020/08/11,48.28,2020/12/29,68.27
"Perdue Jr., David A.",FDX,2019/09/26,2019/10/03,-5.73,2019/10/24,9.03,2019/11/21,6.78,2020/01/16,14.18,2020/05/07,-28.46,2020/09/24,97.38
"Perdue Jr., David A.",BAX,2015/08/27,2015/09/03,-0.9,2015/09/24,-3.08,2015/10/22,-3.21,2015/12/17,-0.65,2016/04/07,3.57,2016/08/25,9.0
"Whitehouse, Sheldon",MCD,2018/05/07,2018/05/14,-0.83,2018/06/04,-5.96,2018/07/02,-9.82,2018/08/27,-6.12,2018/12/17,15.93,2019/05/06,31.58
"Roberts, Pat",NFLX,2017/11/08,2017/11/15,-2.44,2017/12/06,-11.24,2018/01/03,7.94,2018/02/28,97.35,2018/06/20,218.62,2018/11/07,123.86
"Perdue Jr., David A.",DIS,2016/12/07,2016/12/14,2.7,2017/01/04,5.62,2017/02/01,10.08,2017/03/29,11.37,2017/07/19,5.21,2017/12/06,5.42
"Collins, Susan M.",WEX,2019/05/21,2019/05/28,-7.0,2019/06/18,1.45,2019/07/16,13.3,2019/09/10,-3.05,2019/12/31,3.73,2020/05/19,-69.11
"Shalala, Donna",NVCR,2019/06/19,2019/06/26,-3.33,2019/07/17,8.19,2019/08/14,27.65,2019/10/09,12.27,2020/01/29,26.72,2020/06/17,3.94
"Perdue Jr., David A.",WLK,2016/09/28,2016/10/05,2.88,2016/10/26,0.55,2016/11/23,4.61,2017/01/18,8.99,2017/05/10,10.47,2017/09/27,32.77
"McConnell Jr., A. M.",WFC,2018/06/01,2018/06/08,0.72,2018/06/29,1.61,2018/07/27,3.88,2018/09/21,0.71,2019/01/11,-7.02,2019/05/31,-10.11
"Wicker, Roger F.",GDV,2018/04/23,2018/04/30,-0.02,2018/05/21,0.55,2018/06/18,0.79,2018/08/13,1.81,2018/12/03,-0.76,2019/04/22,-0.66
"Lowenthal, Alan S.",SH,2019/12/13,2019/12/20,-0.39,2020/01/10,-0.84,2020/02/07,-1.28,2020/04/03,4.0,2020/07/24,-3.05,2020/12/11,-6.03
"Perdue Jr., David A.",PBA,2019/05/30,2019/06/06,0.44,2019/06/27,0.82,2019/07/25,1.68,2019/09/19,1.46,2020/01/09,2.98,2020/05/28,-10.3
"Murray, Patty",MTB,2017/03/16,2017/03/23,-8.89,2017/04/13,-15.46,2017/05/11,-6.35,2017/07/06,0.07,2017/10/26,2.46,2018/03/15,26.1
"Perdue Jr., David A.",T,2019/02/06,2019/02/13,0.03,2019/03/06,0.3,2019/04/03,2.14,2019/05/29,2.3,2019/09/18,7.08,2020/02/05,8.08
"Perdue Jr., David A.",VLP,2015/08/04,2015/08/11,-0.19,2015/09/01,4.8,2015/09/29,-7.22,2015/11/24,-0.69,2016/03/15,1.87,2016/08/02,-5.52
"Perdue Jr., David A.",HBI,2018/08/24,2018/08/31,-0.12,2018/09/21,1.05,2018/10/19,-1.13,2018/12/14,-3.88,2019/04/05,0.91,2019/08/23,-3.82
