difference_in_days,#_of_transactions_with_that_diff
15,245
16,178
25,208
32,182
42,39
37,112
43,14
52,7
34,135
6,252
11,205
17,166
24,395
1,117
21,281
29,200
12,279
14,184
236,1
9,269
27,229
19,205
20,288
28,272
35,85
18,275
165,4
23,156
30,121
38,16
532,1
10,139
13,334
7,334
48,8
116,44
109,4
179,1
183,5
189,1
191,2
198,5
199,1
200,7
154,1
157,6
162,1
163,8
164,1
169,2
170,2
171,1
129,5
133,4
134,2
87,5
88,1
93,5
94,4
95,5
98,4
100,3
102,2
106,5
107,8
113,4
60,1
66,10
74,1
78,8
46,16
22,301
39,61
45,12
474,4
473,1
496,5
469,2
468,1
427,2
238,1
437,1
36,76
0,478
4,152
413,1
5,252
26,250
31,106
40,39
3,138
8,230
33,113
44,14
2,78
41,46
252,1
533,2
455,3
135,1
142,5
216,1
55,2
419,1
658,1
728,1
799,1
735,1
379,3
246,1
280,1
329,2
370,1
401,2
503,7
541,1
562,1
686,1
717,1
722,1
642,1
399,2
230,1
231,3
233,3
226,1
220,1
354,2
105,2
50,5
63,11
64,3
49,4
57,4
47,8
272,3
434,1
436,1
482,1
298,3
286,10
243,17
305,1
341,1
462,1
251,2
240,2
141,6
72,3
147,26
160,35
263,1
343,3
182,2
373,1
69,4
730,1
80,7
67,3
324,1
118,2
248,1
368,1
257,1
71,2
161,1
250,1
256,2
441,1
389,1
440,1
748,2
965,2
140,3
96,2
65,4
85,6
83,5
185,2
58,1
589,2
267,1
554,1
54,2
340,1
245,1
239,1
615,2
323,1
352,1
385,1
433,1
495,1
553,3
193,1
174,1
458,1
317,1
316,1
581,1
359,1
51,1
89,2
86,2
362,1
479,1
510,1
602,1
706,1
859,1
930,1
931,1
939,1
661,1
911,1
1196,1
1056,1
1064,1
152,1
420,1
517,1
59,1
101,1
148,1
114,2
112,3
122,1
111,4
92,1
84,4
146,1
132,1
128,2
126,2
125,1
121,1
120,3
119,4
115,1
104,3
91,1
90,1
77,3
76,1
149,2
143,1
184,2
61,1
334,1
425,1
513,1
607,1
699,1
789,1
877,1
972,1
177,1
82,1
328,1
336,1
180,7
275,2
332,1
372,2
374,1
73,2
