scale_of_shares_roundedby5,number_of_transactions
"[5, 105]",55
"[0, 25]",13
"[0, 30]",21
"[5, 90]",40
"[5, 45]",22
"[0, 35]",8
"[5, 50]",28
"[5, 110]",47
"[5, 75]",41
"[5, 40]",22
"[0, 10]",12
"[25, 360]",30
"[5, 60]",23
"[10, 140]",43
"[5, 85]",33
"[20, 285]",38
"[20, 335]",31
"[10, 120]",32
"[2255, 4505]",1
"[685, 2290]",1
"[90, 305]",10
"[305, 605]",1
"[35, 560]",16
"[500, 1005]",1
"[0, 5]",6
"[105, 350]",3
"[100, 1475]",1
"[5, 100]",46
"[5, 95]",41
"[190, 630]",5
"[550, 1840]",1
"[20, 315]",35
"[40, 585]",15
"[50, 735]",8
"[2485, 4975]",1
"[20, 280]",28
"[40, 575]",13
"[60, 925]",5
"[40, 625]",15
"[1065, 3550]",1
"[25, 380]",20
"[75, 260]",2
"[50, 725]",4
"[725, 2415]",3
"[4825, 12065]",1
"[50, 765]",8
"[2610, 5225]",1
"[1575, 3150]",1
"[70, 235]",7
"[20, 265]",34
"[60, 200]",6
"[555, 1845]",2
"[115, 375]",2
"[95, 320]",7
"[85, 280]",4
"[90, 295]",8
"[65, 210]",5
"[125, 415]",2
"[15, 225]",40
"[255, 845]",4
"[200, 670]",3
"[215, 710]",8
"[10, 150]",47
"[80, 1230]",3
"[15, 205]",48
"[100, 1495]",5
"[15, 200]",41
"[25, 410]",21
"[30, 480]",19
"[30, 475]",28
"[15, 220]",45
"[15, 230]",43
"[55, 190]",3
"[60, 895]",9
"[895, 2985]",1
"[325, 1075]",2
"[50, 160]",7
"[130, 260]",1
"[40, 600]",10
"[600, 2005]",4
"[5, 55]",15
"[20, 300]",37
"[1510, 3015]",1
"[2010, 5030]",1
"[240, 475]",3
"[40, 565]",16
"[565, 1890]",1
"[585, 1945]",3
"[85, 1305]",1
"[215, 430]",2
"[35, 510]",16
"[10, 160]",36
"[10, 130]",42
"[5, 65]",33
"[15, 245]",45
"[10, 115]",41
"[10, 145]",44
"[5, 70]",37
"[30, 425]",27
"[5, 80]",43
"[15, 250]",37
"[10, 180]",45
"[75, 1150]",5
"[15, 190]",41
"[15, 215]",44
"[10, 155]",40
"[500, 1660]",4
"[35, 500]",29
"[3325, 8310]",1
"[60, 875]",4
"[875, 2920]",1
"[20, 330]",37
"[30, 445]",21
"[40, 620]",11
"[850, 2830]",2
"[2830, 5660]",1
"[1400, 2800]",1
"[600, 1995]",1
"[420, 1395]",1
"[45, 650]",9
"[25, 375]",25
"[25, 385]",36
"[40, 590]",11
"[1970, 3940]",1
"[25, 365]",26
"[55, 855]",3
"[25, 340]",37
"[580, 1940]",1
"[40, 580]",14
"[3880, 9700]",1
"[30, 465]",16
"[110, 370]",4
"[35, 495]",23
"[15, 210]",37
"[180, 2705]",1
"[40, 610]",17
"[30, 450]",20
"[20, 320]",35
"[75, 190]",1
"[7145, 17865]",1
"[285, 950]",1
"[55, 790]",9
"[130, 1940]",1
"[35, 525]",20
"[375, 750]",3
"[150, 295]",1
"[105, 355]",6
"[255, 850]",1
"[185, 610]",2
"[2565, 6415]",1
"[0, 20]",5
"[390, 1300]",7
"[705, 1770]",1
"[285, 715]",1
"[430, 1070]",1
"[205, 515]",1
"[230, 760]",1
"[150, 490]",3
"[30, 470]",30
"[25, 395]",23
"[10, 125]",39
"[15, 195]",46
"[15, 240]",32
"[30, 435]",13
"[400400, 6000000]",1
"[15, 260]",31
"[25, 370]",32
"[3815, 7630]",1
"[0, 15]",10
"[565, 1885]",1
"[190, 640]",5
"[35, 550]",10
"[65, 940]",10
"[40, 595]",9
"[35, 520]",21
"[45, 665]",9
"[70, 1050]",6
"[55, 845]",7
"[70, 1035]",5
"[55, 830]",8
"[25, 400]",23
"[510, 1700]",2
"[40, 630]",10
"[20, 275]",41
"[55, 840]",5
"[35, 540]",21
"[70, 225]",2
"[70, 230]",6
"[380, 760]",1
"[25, 390]",15
"[8165, 20415]",1
"[180, 360]",1
"[65, 215]",5
"[40, 140]",2
"[115, 380]",1
"[785, 1960]",2
"[35, 125]",3
"[2720, 9070]",1
"[245, 3680]",1
"[290, 580]",1
"[70, 145]",1
"[30, 415]",31
"[10, 165]",20
"[20, 310]",24
"[25, 335]",6
"[25, 405]",18
"[35, 515]",20
"[410, 820]",1
"[75, 255]",8
"[40, 130]",6
"[40, 135]",3
"[40, 615]",11
"[30, 430]",26
"[85, 1295]",2
"[85, 1240]",2
"[90, 1325]",2
"[20, 295]",38
"[30, 420]",19
"[55, 810]",6
"[35, 555]",9
"[10, 170]",43
"[75, 1105]",5
"[25, 345]",31
"[30, 485]",24
"[425, 845]",1
"[65, 945]",5
"[120, 410]",1
"[125, 410]",4
"[10, 135]",35
"[40, 635]",17
"[85, 1310]",1
"[1485, 4955]",1
"[115, 385]",3
"[130, 425]",2
"[120, 400]",11
"[100, 195]",2
"[400, 795]",1
"[105, 205]",1
"[55, 185]",4
"[235, 470]",1
"[65, 225]",3
"[165, 330]",3
"[5, 15]",4
"[395, 795]",3
"[310, 625]",1
"[145, 295]",1
"[1390, 2780]",1
"[25, 355]",30
"[15, 255]",25
"[50, 755]",4
"[25, 350]",36
"[10, 175]",29
"[35, 535]",13
"[75, 1135]",7
