senator,number_of_transactions
Thomas H Tuberville,219
Cynthia M Lummis,2
Thomas R Carper,970
Roy Blunt,7
Shelley M Capito,378
"A. Mitchell Mcconnell, Jr.",21
Sheldon Whitehouse,693
Patrick J Toomey,205
Mark R Warner,95
Christopher A Coons,27
Roger W Marshall,1
John Hoeven,226
Rand Paul,1
John W Hickenlooper,12
Gary C Peters,140
"Angus S King, Jr.",77
Susan M Collins,449
Michael F Bennet,8
Ron L Wyden,251
"William F Hagerty, Iv",14
Rick Scott,152
John Boozman,46
Mike Rounds,10
"Jerry Moran,",139
Richard M Burr,97
Tina Smith,24
Ladda Tammy Duckworth,7
Daniel S Sullivan,27
James M Inhofe,230
Pat Roberts,477
Jacklyn S Rosen,5
William Cassidy,166
Richard Blumenthal,50
"David A Perdue , Jr",2597
Kelly Loeffler,279
Timothy M Kaine,3
Jeanne Shaheen,3
Ron Johnson,2
Roger F Wicker,8
Dianne Feinstein,29
Lamar Alexander,59
John N Kennedy,2
Rafael E Cruz,10
Thomas Udall,2
John F Reed,250
Thomas R Tillis,99
John A Barrasso,1
"Robert P Casey, Jr.",1
Robert J Portman,11
Benjamin L Cardin,21
Tammy Duckworth,15
"Joseph Manchin, Iii",12
Michael D Crapo,1
Patty Murray,161
Steve Daines,1
Chris Van Hollen,7
John Cornyn,2
Maria Cantwell,6
Michael  B Enzi,5
Cory A Booker,13
Ron Wyden,10
Jack Reed,1
Angus S King,8
Thad Cochran,22
Roy D Blunt,2
Maria E Cantwell,1
Ronald L Wyden,1
Michael B Enzi,2
Rafael Edward (Ted) Cruz,3
Elizabeth Warren,1
Richard C Shelby,1
Tom S Udall,1
