ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PG,,,1,6,8,5,10,6,7,1,
NFLX,,,9,8,6,7,14,6,27,1,
MPWR,,,,,,,,,,1,
KEYS,,,1,,,,,,2,1,
KLAC,,,,,,,,,6,10,
JNJ,,,1,1,3,6,5,2,5,2,
INTU,,,,,,,1,,1,2,
GNRC,,,,,,,,,,1,
EL,,,3,,1,1,,,,1,
EXP,,,,,,,,,,1,
DEO,,,,,4,,,1,,1,
CTAS,,,,,,,,,,1,
CABO,,,,,,,,,,1,
BKE,,,,,,,,,,1,
ALLE,,,,,,,,,,1,
APD,,,,,,,2,,,1,
WAL,,,,1,,,,,,2,
MMM,,,,1,1,1,2,,2,2,
--,3,15,139,486,164,255,242,227,139,85,
DECK,,,,,,,,,,2,
CLX,,,3,2,1,,3,1,4,2,
CHE,,,,,,,,,,2,
BHP,,,,,,,,,,2,
ATHM,,,,,,,,,,2,
AME,,,,,,1,,,,2,
SSYS,,,2,1,,,,,,5,
X,,,,,,,,,,7,
BABA,,,1,3,1,1,2,1,4,8,
ECOM,,,,,,,,,,16,
BTC,,,,,,,,,,1,
J,,,,,,,,,,1,
GOOG,,,1,,2,,3,2,9,1,
AAPL,,,14,13,22,17,25,16,49,11,
NRDY,,,,,,,,,,1,
MSFT,,,6,2,15,5,9,11,24,5,
MCHP,,,2,,,1,2,,,1,
T,,,5,4,2,12,11,17,17,2,
CALX,,,,,,,,,,7,
SSBK,,,,,,,,,,1,
INTC,,,1,,2,3,3,8,4,11,
OXY,,,1,1,1,1,1,2,1,13,
LMRK,,,,,,,,,1,1,
WW,,,,,,,,1,1,1,
ARE,,,1,,,,,,3,1,
COR,,,,,,,,,,1,
F,,,4,,3,3,5,,3,2,
AA,,,,,,,,,1,12,
NVDA,,,,,5,6,8,2,28,1,
CLF,,,,,,,,,,16,
QQQ,,,1,1,,,,,,3,
CRWD,,,,,,,,,3,1,
NWL,,,2,,6,4,,,,1,
PEGA,,,,,,,,,,1,
PEP,,,4,1,2,4,9,7,3,1,
XLY,,,,,,,,,,1,
MTUM,,,,,1,,1,,,1,
SQ,,,,,,,1,1,3,1,
DTD,,,,,,,,,,1,
RDSA,,,,,,,,,,1,
IBM,,,4,,5,7,7,5,2,1,
C,,,5,,3,6,8,3,5,2,
PINS,,,,,,,,,,1,
SNAP,,,,,,,,,,1,
O,,,,,,,,,,1,
IJS,,,,,,,,,,1,
IVV,,,,,,,,,1,1,
ABYIX,,,,,,,,,1,1,
CFA,,,,,,,,,1,1,
GLD,,,1,,,,1,,5,1,
FDN,,,,,,,,,3,1,
LUBFX,,,,,,,,,4,1,
DGRS,,,,,,,,,1,1,
GBIL,,,,,,,,,7,1,
FINX,,,,,,,,,1,1,
NXTG,,,,,,,,,1,1,
FIMKX,,,,,,,,,1,2,
GEMIX,,,,,,,,,,3,
FCPIX,,,,,,,,,1,3,
JCI,,,,1,2,3,,1,1,1,
FAST,,,,,,,,,,1,
TMO,,,,,6,2,2,2,1,1,
ADBE,,,,,,,,,,3,
ALGN,,,,,,,,,,1,
SDOG,,,,,,,,,,1,
TDY,,,,,,,,,,1,
FB,,,12,1,15,6,11,2,7,2,
WY,,,1,,,,4,,,1,
ONEQ,,,,,,,,,,1,
DG,,,,,,,,,4,1,
VEEV,,,,,,,,,,1,
BRK-B,,,,,3,2,4,2,10,1,
CSX,,,,1,2,1,,1,,2,
WST,,,,1,,,,,,1,
WAT,,,,,,,,1,,1,
VMW,,,,,1,,,,,1,
TER,,,,,,,,,,1,
SNA,,,1,,,1,,,,1,
SIVB,,,,,,,,,,1,
SWKS,,,,,,,,1,5,1,
SEIC,,,,,,,,,,1,
ROK,,,,,,,,,,1,
REGN,,,1,,3,2,,,,1,
DGX,,,,,,,,,1,1,
QCOM,,,1,4,3,14,4,3,3,2,
PYPL,,,,1,,4,1,2,11,3,
ODFL,,,,,,,,,,1,
NDSN,,,,,,,,,,1,
NTES,,,,,,,,,,1,
MRK,,,,4,2,20,6,3,8,2,
IDXX,,,,,,,,,,1,
IEX,,,1,,,,,,,2,
HON,,,5,,1,1,2,1,2,1,
HSY,,,,1,1,2,,,,1,
GGG,,,,,,,,,,1,
GNTX,,,,,,,,,,1,
FTNT,,,,,,,,,1,1,
EA,,,,,,,,,,2,
EBAY,,,3,2,,,,,1,1,
EW,,,,,,,,,,1,
CNR,,,,,,,,,,1,
CL,,,,1,,,2,,3,1,
CE,,,,,,,,1,,1,
BIO,,,,1,,,,,,1,
GOOGL,,,2,,2,1,2,,2,1,
ADP,,,,1,1,,2,,3,2,
FCX,,,1,1,,,,,,3,
FDSWX,,,,,,,,,,1,
USB,,,,,2,5,6,2,2,2,
JPM,,,2,,2,8,11,1,8,2,
OGN,,,,,,,,,,1,
NOK,,,,,,,,,,1,
BA,,,7,5,3,5,5,2,14,1,
ETHE,,,,,,,,,,1,
GBTC,,,,,,,,,,1,
nan,55,163,36,26,34,36,49,46,18,2,
WFC,,,1,2,4,7,8,9,12,5,
FL4.SG,,,,,,,,,,1,
CMG,,,,,,,,,,1,
QRTEA,,,,,,,,,,1,
TTD,,,,,,,,,,1,
PTON,,,,,,,,,,1,
VZ,,,1,2,3,7,1,3,7,1,
IWM,,,,,,,,,1,1,
NTRA,,,,,,,,,,1,
NUAN,,,,,,,,,1,1,
GAN,,,,,,,,,,1,
TRIT,,,,,,,,,,1,
CWEN,,,,,,,,,,1,
AMAT,,,,1,,,,,6,3,
MTCH,,,,,,,,,2,1,
VPU,,,,,,,,,,1,
ITW,,,,1,1,,3,1,,1,
DIS,,,2,,19,8,4,12,25,4,
RPM,,,1,,,,4,2,3,1,
UBSI,,,,,,,2,,,1,
BLK,,,,,2,1,5,,3,1,
STZ,,,,,,,2,,3,1,
AVGO,,,,,,2,,1,3,1,
QRTEP,,,,,,,,,,1,
CARG,,,,,,,,,,1,
DGNR,,,,,,,,,,1,
STX,,,,,,,,,2,1,
PENN,,,,,,,,,,1,
DD,2,4,5,3,1,1,,3,23,2,
GGSM,,,,,,,,,,1,
FEMS,,,,,,,,,2,1,
EEM,,,1,2,1,,,,2,1,
CTAA,,,,,,,,,,1,
LMND,,,,,,,,,,1,
VRM,,,,,,,,,,1,
LMACU,,,,,,,,,,1,
COST,,,1,2,4,3,7,4,9,2,
GME,,,,,1,1,,,,2,
SHOP,,,,,,,,,,1,
TSLA,,,,,,4,3,2,9,1,
STAG,,,,1,,,,,,1,
AEP,,,1,,,,,,1,1,
XCAPX,,,,,,,,,1,1,
PBA,,,,,,1,,3,3,1,
AQN,,,,,,,,,,1,
VIAV,,,,,,,,,1,1,
EVOP,,,,,,,,,1,1,
RODM,,,,,,,,,2,2,
FEYE,,,2,3,32,5,14,7,3,1,
PSQ,,,,,,,,,,6,
SH,,,,,,,,,,6,
DDOG,,,,,,,,,1,1,
CAG,,,,,,1,,1,1,1,
AJRD,,,,,,,,,1,1,
CRSP,,,,,,1,1,,1,1,
UNH,,,1,,,2,4,1,1,,
PSX,,,1,1,,,2,,2,,
AMT,,,4,,1,3,,2,2,,
SYY,,,,2,1,2,3,2,5,,
PII,,,,,,,2,,1,,
OTIS,,,,,,,,,1,,
XOM,,,2,1,1,7,13,9,9,,
CARR,,,,,,,,,1,,
DNKN,,,,,,2,,,3,,
DOW,,,,,,2,,6,8,,
VTRS,,,,,,,,,1,,
NTAP,,,,,,,,,1,,
SBIO,,,,,,,,,3,,
BMY,,,5,1,4,10,3,2,6,,
GSMYX,,,,,,,,,1,,
PLUG,,,,,,,,,1,,
EXPI,,,,,,,,,1,,
ETY,,,,4,,5,2,,2,,
W,,,,,,,,,5,,
ZM,,,,,,,,,2,,
AIV,,,,,,,,,2,,
NTRP,,,,,,,1,,2,,
PFE,,,,6,16,20,19,,13,,
WMT,,,1,,3,17,12,1,9,,
UPS,,,1,,,3,10,1,7,,
SBUX,,,5,2,6,8,5,,12,,
PLD,,,,,,,,,2,,
MDT,,,,1,2,4,4,1,2,,
LOW,,,2,,3,1,3,,4,,
CMCSA,,,1,,2,2,4,3,7,,
CSCO,,,1,,3,8,8,4,14,,
CVS,,,4,1,4,8,9,7,7,,
AMGN,,,2,3,6,6,4,1,5,,
BYND,,,,,,,,,7,,
V,,,3,,2,1,4,2,8,,
DAL,,,5,,,1,2,1,12,,
SNPS,,,,,,,,,1,,
GOLD,,,,,,,,,2,,
OHI,,,1,,,,,,2,,
WIW,,,,,,,,,4,,
ERIC,,,,,,,,,1,,
LGI,,,,,,,,1,2,,
MRVL,,,,,,,,,1,,
BRKR,,,,,,,,,1,,
MANT,,,,,,,,,2,,
ACIW,,,,,,,,,1,,
SRVR,,,,,,,,,3,,
CONE,,,,,,,,,2,,
CEF,,,,,,,,1,5,,
XAR,,,,,,,,,1,,
GMAB,,,,,,,,,1,,
BAH,,,,,,,,1,2,,
LDP,,,,,,,,,5,,
ABBV,,,4,4,,1,2,1,10,,
HBI,,,,2,,22,11,2,5,,
ATVI,,,,,,,,1,1,,
RTH,,,,,,,,,3,,
NTLA,,,,,,1,1,,1,,
PTLC,,,,,,,,,2,,
PTNQ,,,,,,,,,2,,
PTMC,,,,,,1,,,2,,
MAXR,,,,,,,,,1,,
ARNA,,,,,,,,,6,,
PAGS,,,,,,,,,1,,
CTVA,,,,,,,,2,2,,
SI,,,,,,,,,1,,
GLW,,,,4,2,7,12,9,4,,
HAL,,,,4,1,,,,2,,
PAAS,,,,,,,,,1,,
RIO,,,,,,,,,1,,
FTV,,,,,2,,,,1,,
WDAY,,,,,,,,,4,,
BBY,,,,,,,,,2,,
NVAX,,,,,,,,,2,,
IJR,,,,,,,,,1,,
CB,,,,,4,2,4,,2,,
TT,,,,,,,,,2,,
ATOAX,,,,,,,,,1,,
AMZN,,,4,2,2,6,12,6,21,,
AMWD,,,,,,,,,2,,
IRBT,,,,,,,,,4,,
FDX,,,,,2,2,3,28,6,,
KR,,,,,,,,6,26,,
SLB,,,5,1,3,10,5,3,2,,
COP,,,3,,3,5,1,2,3,,
TXN,,,1,,,,,2,2,,
KO,,,2,2,1,3,1,7,5,,
ALL,,,1,,,,1,,2,,
CVX,,,3,5,4,6,4,2,13,,
RDS-B,,,,,1,1,3,1,3,,
MPC,,,,,,,,3,4,,
GILD,,,2,4,15,7,3,3,1,,
BAC,,,6,2,29,16,17,1,13,,
TCEHY,,,,,,,,,5,,
KWEB,,,,,,,,,2,,
DHI,,,,,,,,,4,,
PSA,,,,,3,2,,,3,,
COUP,,,,,,,,,4,,
MAR,,,,,1,,,,4,,
VAC,,,,,,,,,3,,
OSK,,,,,,,,,3,,
ICE,,,,,,,1,1,9,,
GE,,,5,2,13,16,8,3,1,,
TROW,,,,,1,,,,2,,
NKLA,,,,,,,,,2,,
TGT,,,1,1,,5,3,2,2,,
AAL,,,,,,,,,6,,
NOC,,,,,1,3,7,4,1,,
MA,,,,,3,1,,2,5,,
SPOT,,,,,,,,,1,,
SIL,,,,,,,,,2,,
RMD,,,,,,1,,,2,,
ARCC,,,1,,,3,,,2,,
LMT,,,,,1,1,2,,2,,
FXI,,,,,,,,,2,,
AXS,,,,,,,,,1,,
MPW,,,1,,,1,,,1,,
GLAD,,,,,,1,,,2,,
