amount,Democratic Party (United States),Independent politician,Republican Party (United States),sort_key
Unknown,189,8,268,-1
"$1,001 - $15,000",1981,51,3714,15000
"$15,001 - $50,000",490,25,1059,50000
"$50,001 - $100,000",89,1,438,100000
"$100,001 - $250,000",33,,278,250000
"$250,001 - $500,000",21,,94,500000
"$500,001 - $1,000,000",10,,90,1000000
"$1,000,001 - $5,000,000",7,,18,5000000
"$5,000,001 - $25,000,000",,,12,25000000
"$25,000,001 - $50,000,000",,,2,50000000
"Over $50,000,000",,,1,50000001
