difference_in_days,#_of_transactions_with_that_diff
-336,1
-316,1
-25,1
-21,1
-17,1
-7,1
-3,1
-1,2
0,478
1,115
2,78
3,137
4,152
5,252
6,252
7,333
8,230
9,269
10,139
11,205
12,279
13,334
14,184
15,245
16,178
17,165
18,275
19,205
20,288
21,280
22,301
23,156
24,395
25,207
26,250
27,229
28,272
29,200
30,121
31,106
32,182
33,113
34,135
35,85
36,76
37,112
38,16
39,61
40,39
41,46
42,39
43,14
44,14
45,12
46,16
47,8
48,8
49,4
50,5
51,1
52,7
54,2
55,2
57,4
58,1
59,1
60,1
61,1
63,11
64,3
65,4
66,10
67,3
69,4
71,2
72,3
73,2
74,1
76,1
77,3
78,8
80,7
82,1
83,5
84,4
85,6
86,2
87,5
88,1
89,2
90,1
91,1
92,1
93,5
94,4
95,5
96,2
98,4
100,3
101,1
102,2
104,3
105,2
106,5
107,8
109,4
111,4
112,3
113,4
114,2
115,1
116,44
118,2
119,4
120,3
121,1
122,1
125,1
126,2
128,2
129,5
132,1
133,4
134,2
135,1
140,3
141,6
142,5
143,1
146,1
147,26
148,1
149,2
152,1
154,1
157,6
160,35
161,1
162,1
163,8
164,1
165,4
169,2
170,2
171,1
174,1
177,1
179,1
180,7
182,2
183,5
184,2
185,2
189,1
191,2
193,1
198,5
199,1
200,7
216,1
220,1
226,1
230,1
231,3
233,3
236,1
238,1
239,1
240,2
243,17
245,1
246,1
248,1
250,1
251,2
252,1
256,2
257,1
263,1
267,1
272,3
275,2
280,1
286,10
298,3
305,1
317,1
323,1
324,1
328,1
329,2
332,1
334,1
340,1
341,1
343,3
352,1
354,2
359,1
362,1
368,1
370,1
372,2
373,1
374,1
379,3
385,1
389,1
399,2
401,2
413,1
419,1
420,1
425,1
427,2
433,1
434,1
436,1
437,1
440,1
441,1
455,3
458,1
462,1
468,1
469,2
473,1
474,4
479,1
482,1
495,1
496,5
503,7
510,1
513,1
517,1
532,1
533,2
541,1
553,3
554,1
562,1
581,1
589,2
602,1
607,1
615,2
642,1
658,1
661,1
686,1
699,1
706,1
717,1
722,1
728,1
730,1
735,1
748,2
789,1
799,1
859,1
877,1
911,1
930,1
931,1
939,1
965,2
972,1
1056,1
1064,1
1196,1
