industry,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Household & Personal Products,,,14,12,17,19,15,9,18,6
Entertainment,,,14,30,38,44,95,47,82,5
Semiconductors,,,9,9,10,40,29,25,55,18
Scientific & Technical Instruments,,,2,1,2,4,2,2,4,2
Semiconductor Equipment & Materials,,,,3,6,13,6,16,17,14
Drug Manufacturers—General,,,18,33,50,80,47,17,50,5
Building Materials,,,,1,1,,,1,4,1
Beverages—Wineries & Distilleries,,,,,4,1,2,2,3,2
Specialty Business Services,,,,1,,,,,,1
Telecom Services,,,12,7,6,25,12,21,25,4
Apparel Retail,,,1,,4,26,22,14,20,1
Security & Protection Services,,,,1,11,,2,1,3,1
Chemicals,,,2,,4,4,3,8,11,2
Banks—Regional,,,10,29,4,29,27,9,13,6
Specialty Industrial Machinery,,,18,11,19,30,22,8,24,9
Footwear & Accessories,,,1,1,4,3,2,,3,2
Medical Care Facilities,,,,1,,,2,,1,2
Other Industrial Metals & Mining,,,,,,2,,,2,2
Internet Content & Information,,,23,5,22,14,16,7,29,11
Computer Hardware,,,2,1,,1,,,6,6
Steel,,,,,1,,,,,23
Internet Retail,,,8,11,3,7,14,7,33,11
cryptocurrency,,,,,,,,,,1
Engineering & Construction,,,,2,2,5,,1,1,2
Consumer Electronics,,,15,14,22,17,25,16,53,11
Software—Application,,,6,3,,1,2,,20,11
Software—Infrastructure,,,18,12,51,16,29,25,48,14
Oil & Gas E&P,,,5,14,10,10,18,11,8,13
Real Estate Services,,,,,,,,,2,1
Personal Services,,,,,,1,1,1,2,1
REIT—Office,,,2,1,,1,1,,4,2
Auto Manufacturers,,,9,3,7,24,20,3,18,3
Aluminum,,,,,,,,,1,12
Fund,,1,82,104,93,56,33,22,84,42
Beverages—Non-Alcoholic,,,6,3,3,7,10,16,8,1
Information Technology Services,,,5,1,9,14,10,12,10,2
Banks—Diversified,,,14,4,39,38,44,14,38,9
REIT—Retail,,,2,,1,4,1,,,1
Industrial Distribution,,,1,,1,,2,2,4,1
Diagnostics & Research,,,4,6,17,11,7,10,5,5
Medical Devices,,,1,7,10,10,16,6,7,3
REIT—Specialty,,,8,,1,7,4,4,7,1
Health Information Services,,,1,1,2,2,1,1,,1
Insurance—Diversified,,,3,1,3,3,5,3,23,1
Railroads,,,6,1,6,1,4,2,1,2
Medical Instruments & Supplies,,,2,18,9,8,5,4,3,1
Tools & Accessories,,,2,2,,1,,,,1
Asset Management,,1,6,14,18,14,18,10,33,2
Biotechnology,,,1,2,4,9,4,3,13,2
Credit Services,,,3,9,7,12,3,5,22,3
Trucking,,,,1,,,,,1,1
Confectioners,,,1,1,1,4,3,2,3,1
Auto Parts,,,2,2,,2,7,,,1
Electronic Gaming & Multimedia,,,6,3,8,,,1,1,2
Building Products & Equipment,,,,2,,,,,1,1
Staffing & Employment Services,,,,1,2,3,4,,3,2
Copper,,,1,1,1,,,,,3
Communication Equipment,,,1,14,7,9,19,7,16,2
Aerospace & Defense,,,7,7,6,13,29,35,24,2
Restaurants,,,7,4,10,12,8,3,17,1
Leisure,,,1,,5,1,,1,4,1
Gambling,,,,,,,,,,1
Utilities—Renewable,,,,,,,,,1,2
Specialty Chemicals,2,4,10,6,13,32,16,18,33,3
Resorts & Casinos,,,1,,,19,10,23,16,1
Other Precious Metals & Mining,,,,,,,,,,1
Closed-End Fund - Foreign,,,2,2,1,,,,2,1
Insurance—Property & Casualty,,,2,2,4,4,5,1,9,1
Auto & Truck Dealerships,,,,,,,12,1,,1
Shell Companies,,,,,,,,,,1
Discount Stores,,,3,3,7,25,22,7,20,2
Specialty Retail,,,,22,3,13,1,,8,2
REIT—Industrial,,,,1,,,,,2,1
Utilities—Regulated Electric,,,9,8,8,18,8,1,2,1
Packaged Foods,,,5,3,6,13,13,9,15,1
Healthcare Plans,,,5,2,4,10,13,10,9,
Oil & Gas Refining & Marketing,,,2,2,2,,8,5,7,
Recreational Vehicles,,,,,,,2,,1,
Oil & Gas Integrated,,,3,1,2,10,21,13,19,
Drug Manufacturers—Specialty & Generic,,,1,3,4,1,,,1,
Electrical Equipment & Parts,,,,1,,,1,6,3,
Integrated Freight & Logistics,,,1,2,3,7,17,29,13,
Home Improvement Retail,,,2,2,5,1,4,,5,
Airlines,,,6,,1,1,3,1,18,
Gold,,,,,,,,,3,
REIT—Healthcare Facilities,,,2,,,2,,,4,
Consulting Services,,,,,,,,1,2,
Apparel Manufacturing,,,5,6,11,23,14,6,8,
Agricultural Inputs,,,,1,3,8,21,8,2,
Electronic Components,,,2,4,2,10,13,12,5,
Oil & Gas Equipment & Services,,,7,8,4,10,6,3,4,
Silver,,,,,,,,,1,
"Furnishings, Fixtures & Appliances",,,,,,,,,2,
Grocery Stores,,,,1,,,,6,26,
Residential Construction,,,,,,1,,,4,
Lodging,,,,,1,1,,1,4,
Farm & Heavy Construction Machinery,,,5,7,4,2,3,1,13,
Financial Data & Stock Exchanges,,,1,,,2,3,3,15,
Farm Products,,,,,,1,,,7,
Travel Services,,,1,1,,1,2,2,7,
Packaging & Containers,,,3,5,,8,12,16,10,
Oil & Gas Midstream,,,4,15,36,20,38,52,54,
Broadcasting,,,4,5,3,9,16,7,10,
Infrastructure Operations,,,,,,,3,4,1,
Rental & Leasing Services,,,1,,,,4,2,4,
Tobacco,,,1,,1,3,,3,3,
Insurance—Life,,,6,1,5,8,4,3,15,
Department Stores,,,7,3,1,2,1,3,4,
Capital Markets,,,3,1,3,5,8,1,3,
Medical Distribution,,,6,1,3,2,,,3,
Insurance—Specialty,,,4,2,,,,,7,
Waste Management,,,4,1,7,1,,,1,
REIT—Mortgage,,,1,,,,,1,,
Utilities—Diversified,,,1,1,,2,,2,,
Type,,,2,2,,,2,,,
Beverages—Brewers,,,3,8,,5,7,1,,
Insurance Brokers,,,4,1,,2,1,,,
Pharmaceutical Retailers,,,,,2,5,1,,,
Food Distribution,,,,1,,,2,,,
Oil & Gas Drilling,,,1,,,1,,,,
Closed-End Fund - Equity,,,,,,,1,,,
REIT—Diversified,,,,1,1,1,1,,,
Luxury Goods,,,,,,1,,,,
Electronics & Computer Distribution,,,,1,,1,,,,
Utilities—Regulated Water,,,,,1,,,,,
Conglomerates,,,,,1,,,,,
Utilities—Regulated Gas,,,1,1,,,,,,
Marine Shipping,,,3,1,,,,,,
Metal Fabrication,,,,1,,,,,,
REIT—Residential,,,1,,,,,,,
Publishing,,,1,,,,,,,
Coking Coal,,,1,,,,,,,
