senator,Aerospace & Defense,Agricultural Inputs,Airlines,Aluminum,Apparel Manufacturing,Apparel Retail,Asset Management,Auto & Truck Dealerships,Auto Manufacturers,Auto Parts,Banks—Diversified,Banks—Regional,Beverages—Brewers,Beverages—Non-Alcoholic,Beverages—Wineries & Distilleries,Biotechnology,Broadcasting,Building Materials,Building Products & Equipment,Business Equipment & Supplies,Capital Markets,Chemicals,Closed-End Fund - Equity,Closed-End Fund - Foreign,Coking Coal,Communication Equipment,Computer Hardware,Confectioners,Conglomerates,Consulting Services,Consumer Electronics,Copper,Credit Services,Department Stores,Diagnostics & Research,Discount Stores,Drug Manufacturers—General,Drug Manufacturers—Specialty & Generic,Electrical Equipment & Parts,Electronic Components,Electronic Gaming & Multimedia,Electronics & Computer Distribution,Engineering & Construction,Entertainment,Farm & Heavy Construction Machinery,Farm Products,Financial Data & Stock Exchanges,Food Distribution,Footwear & Accessories,Fund,"Furnishings, Fixtures & Appliances",Gambling,Gold,Grocery Stores,Health Information Services,Healthcare Plans,Home Improvement Retail,Household & Personal Products,Industrial Distribution,Information Technology Services,Infrastructure Operations,Insurance Brokers,Insurance—Diversified,Insurance—Life,Insurance—Property & Casualty,Insurance—Specialty,Integrated Freight & Logistics,Internet Content & Information,Internet Retail,Leisure,Lodging,Luxury Goods,Marine Shipping,Medical Care Facilities,Medical Devices,Medical Distribution,Medical Instruments & Supplies,Metal Fabrication,Mortgage Finance,Oil & Gas Drilling,Oil & Gas E&P,Oil & Gas Equipment & Services,Oil & Gas Integrated,Oil & Gas Midstream,Oil & Gas Refining & Marketing,Other Industrial Metals & Mining,Other Precious Metals & Mining,Packaged Foods,Packaging & Containers,Personal Services,Pharmaceutical Retailers,Publishing,REIT—Diversified,REIT—Healthcare Facilities,REIT—Industrial,REIT—Mortgage,REIT—Office,REIT—Residential,REIT—Retail,REIT—Specialty,Railroads,Real Estate Services,Recreational Vehicles,Rental & Leasing Services,Residential Construction,Resorts & Casinos,Restaurants,Scientific & Technical Instruments,Security & Protection Services,Semiconductor Equipment & Materials,Semiconductors,Shell Companies,Silver,Software—Application,Software—Infrastructure,Specialty Business Services,Specialty Chemicals,Specialty Industrial Machinery,Specialty Retail,Staffing & Employment Services,Steel,Telecom Services,Tobacco,Tools & Accessories,Travel Services,Trucking,Type,Utilities—Diversified,Utilities—Regulated Electric,Utilities—Regulated Gas,Utilities—Regulated Water,Utilities—Renewable,Waste Management,cryptocurrency
Thomas H Tuberville,,,,12,,1,1,,2,1,,3,,1,1,1,,1,1,,,2,,,,,5,1,,,1,3,3,,3,,3,,,,2,,,1,,,,,2,7,,,,,1,,,6,,,,,1,,,,,6,8,,,,,2,3,,1,,,,13,,,,,2,,,,,,,,,,,,,,1,2,,,,,,,2,1,2,13,,,8,9,1,,8,,2,23,1,,1,,1,,,,,,,,
Cynthia M Lummis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Thomas R Carper,6,2,,,4,,23,,1,,3,3,,1,,4,,,,,,3,,2,,4,2,,,1,6,1,2,,4,1,6,1,1,3,2,,1,2,,3,,,,117,,1,1,,,3,,1,1,1,,,,2,2,,,4,,,,,,,3,,3,,,1,,1,2,1,3,1,1,4,1,3,,,,3,,,5,,,5,,2,,,,,4,1,,,16,,1,4,9,,16,1,,1,,3,2,,,1,,,2,1,,3,,
Roy Blunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Shelley M Capito,9,,1,,3,1,8,,1,,28,12,3,5,3,4,,,1,,1,6,1,,,6,,3,,,5,,,1,1,3,24,,,2,1,,,1,1,,8,,2,5,,,,,2,1,3,15,1,8,,,3,3,4,,,2,1,,2,1,,,8,,4,,,1,4,3,9,5,3,,,10,,,,,,,,,,,,5,7,,3,1,,2,3,2,,2,15,,,,13,,1,16,,5,,8,2,,2,,,1,10,,,,,
Sheldon Whitehouse,8,,2,,10,4,6,,19,3,24,3,4,7,3,6,,,,,7,3,,,,3,4,,,,12,,8,6,9,8,59,,,1,,,4,17,6,,,,1,43,,,,,1,10,4,23,,16,,1,7,7,4,,,24,11,5,1,,4,,4,5,,,,,1,6,,,,,,13,,,2,1,2,,,,1,1,,,3,,,,,,9,5,2,8,29,,,,16,,1,23,1,,,26,3,,2,,3,,4,,,,6,
John W Hickenlooper,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Gary C Peters,,,,,,,4,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,,3,,,,,,1,,1,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,1,1,2,,1,,3,,,,,,,,,,,,1,,,,,,2,2,,,1,3,,,,,,,3,,,,,
"Angus S King, Jr.",,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,2,1,2,1,,,,,,2,,,,,1,1,,,,,,1,,1,,1,,,,,2,,,,1,,,,,,,,1,,,,2,3,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,1,,,,,,
"William F Hagerty, Iv",1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A. Mitchell Mcconnell, Jr.",,,,,,,,,,,15,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"Jerry Moran,",,,,,,,,,,,16,4,,4,,,,,,,4,,,,,,,,,,8,,,,,9,11,,,,,,,6,,,,,,2,,,,2,,4,,,,,,,5,,3,,,5,1,,,,,2,,,,,,,3,1,10,,3,,,4,,,,,,,,,,,,4,,,,,,,,,,,7,,,,3,,,,,,,4,,,,,,,,,,,,
John Boozman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron L Wyden,,,,,,,,,3,,1,,,,3,,,3,,,,,,,,1,3,,,,20,,4,,,2,,,,1,,,1,19,6,,,,,,2,,,4,,,1,2,,,,,,,,,10,15,14,,4,,,,,,,,,,1,,4,,,,,4,1,,,,,,,,,,,,,,,,4,3,6,,,23,20,,,10,11,,,2,,,,3,,,3,,,,,,,,,
Ladda Tammy Duckworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,
Daniel S Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,
Patrick J Toomey,,,,,,,,,6,,2,21,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,30,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,6,2,,,7,,,,,2,,3,,,,,
James M Inhofe,,,3,,2,,5,4,2,6,7,,2,1,,8,,,,,,,,,,,,,1,,4,,9,,5,,15,2,,2,,2,2,3,,,,,,22,,,,,2,6,,6,,2,,,2,,,,4,2,6,,,,,,1,,2,,,,15,,2,,,,,,,3,,,,,,,,,,,1,,,,,,1,5,,,1,,,3,8,,2,9,,,,,,,1,,,,,,,,,
Pat Roberts,42,,8,,2,7,13,,8,,22,,,,,2,,,,,,,,,,,,,,,49,,10,2,,24,,,1,,4,,,54,,,,,,1,,,1,,,,1,,,1,,,,1,,,,37,25,,,,,,,,,,,,6,,4,,,,,3,,,,,,,,,,,,,4,1,,,,,8,,,,23,,,2,9,,,3,7,,,4,,,,,,,,,,,,
Jacklyn S Rosen,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
William Cassidy,,,,,4,,9,,2,,2,,,,,,,,,,,2,,,,6,,,,,10,,,,,7,11,,,,,,,11,2,,,,,1,,,,,,6,6,6,2,4,,,,2,,,2,,,,,,,,8,,,,,,3,3,6,,1,,,,,,,,,,2,,,,2,2,2,,,,,,4,,,,4,,,,6,,3,6,,,,4,,,,,,,3,,,,,
Kelly Loeffler,5,1,7,1,,8,2,,,,2,2,,1,1,6,,1,,,3,1,,,,7,2,1,,,1,,7,,,3,13,,,,,,,8,6,5,15,,,,,,1,,,2,1,8,,6,,,13,12,4,7,1,5,6,4,,,,,1,3,,,,,,1,7,1,1,1,,6,,,,,,1,,,,,,,,,,,,,,1,3,1,2,,,5,6,,9,13,6,3,,2,1,,3,,,,,,,,,
Timothy M Kaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
"David A Perdue , Jr",41,40,4,,39,65,15,9,33,,62,50,7,17,,,50,,,,,10,,1,,39,,3,,2,40,,12,6,11,19,103,3,7,35,6,,1,213,6,,,,6,152,,,,26,,4,1,25,6,13,8,,9,3,1,,37,9,11,,,,,1,4,,29,,,,32,10,16,194,8,,,6,45,,3,,,,,,,,,2,1,,,9,,63,13,,11,38,18,,,,89,,76,18,28,,,30,3,,3,,,,11,,,,,
Roger F Wicker,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tina Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
John Hoeven,2,,,,7,1,9,,3,,1,1,5,5,1,,,2,,,,3,,,,3,,1,,,2,1,,2,,3,14,,,,,,2,1,4,,,,1,14,,,,,,2,,2,,7,,1,,5,,,5,3,2,1,,,,,,,,,,,,1,2,,3,,,4,,,,,,,,1,,,2,2,1,,,,,,7,,1,,4,,,1,,,2,2,,1,,5,,,,,,1,2,,,,,
John N Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael E Cruz,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susan M Collins,3,,5,,1,1,4,,4,2,9,10,1,2,2,1,4,,,1,3,1,,,1,,,2,,,2,,7,4,4,2,12,2,2,2,1,,,5,2,,1,,,42,,,,,2,5,1,7,1,,,4,2,1,2,1,1,11,4,1,,,,,2,6,1,,1,,5,6,2,3,2,,,4,3,,,,,2,,1,2,,2,3,1,,,1,,1,2,2,,,4,,,5,9,,7,13,2,1,,3,,3,,,,,6,1,1,,8,
