date,number_of_transactions_unique
07/25/2012,1
08/02/2012,1
08/15/2012,1
08/16/2012,1
08/17/2012,2
08/22/2012,2
08/23/2012,1
08/24/2012,1
08/27/2012,1
09/10/2012,1
09/11/2012,2
09/20/2012,1
09/26/2012,1
09/27/2012,1
10/01/2012,1
10/03/2012,2
10/04/2012,1
10/09/2012,2
10/10/2012,2
10/11/2012,2
10/19/2012,1
10/22/2012,1
10/25/2012,1
10/31/2012,1
11/05/2012,2
11/09/2012,2
11/13/2012,1
11/14/2012,1
11/15/2012,1
11/19/2012,1
11/26/2012,1
12/04/2012,1
12/05/2012,1
12/10/2012,1
12/13/2012,2
12/14/2012,1
12/20/2012,1
12/21/2012,2
12/27/2012,3
01/02/2013,2
01/04/2013,2
01/10/2013,1
01/11/2013,1
01/14/2013,1
01/17/2013,1
01/24/2013,1
01/28/2013,2
01/30/2013,3
02/01/2013,1
02/06/2013,2
02/07/2013,1
02/08/2013,1
02/11/2013,1
02/12/2013,2
02/13/2013,1
02/14/2013,2
02/15/2013,1
02/25/2013,2
02/27/2013,1
03/05/2013,1
03/11/2013,1
03/12/2013,1
03/13/2013,1
03/18/2013,1
03/25/2013,1
03/29/2013,1
04/04/2013,1
04/05/2013,2
04/08/2013,2
04/10/2013,3
04/12/2013,1
04/17/2013,1
04/18/2013,1
04/19/2013,1
04/23/2013,1
05/02/2013,2
05/07/2013,2
05/08/2013,2
05/09/2013,1
05/10/2013,1
05/13/2013,2
05/14/2013,2
05/15/2013,1
05/20/2013,1
05/21/2013,2
05/29/2013,1
06/03/2013,1
06/04/2013,1
06/05/2013,2
06/06/2013,3
06/11/2013,1
06/12/2013,1
06/17/2013,1
06/18/2013,1
06/25/2013,1
06/26/2013,1
06/28/2013,1
07/03/2013,1
07/08/2013,1
07/09/2013,1
07/11/2013,2
07/12/2013,1
07/15/2013,1
07/17/2013,2
07/18/2013,1
07/19/2013,1
07/22/2013,1
07/25/2013,2
07/29/2013,1
07/31/2013,1
08/01/2013,1
08/02/2013,1
08/12/2013,1
08/14/2013,1
08/23/2013,1
08/26/2013,1
08/28/2013,1
09/03/2013,2
09/04/2013,1
09/05/2013,2
09/09/2013,1
09/10/2013,1
09/12/2013,2
09/18/2013,1
09/24/2013,1
09/25/2013,1
09/26/2013,1
09/27/2013,1
10/01/2013,1
10/04/2013,1
10/08/2013,1
10/09/2013,1
10/16/2013,2
