senator,number_of_transactions
"David A Perdue , Jr",2597
Thomas R Carper,970
Sheldon Whitehouse,693
Pat Roberts,477
Susan M Collins,449
Shelley M Capito,378
Kelly Loeffler,279
Ron L Wyden,251
John F Reed,250
James M Inhofe,230
John Hoeven,226
Thomas H Tuberville,219
Patrick J Toomey,205
William Cassidy,166
Patty Murray,161
Rick Scott,152
Gary C Peters,140
"Jerry Moran,",139
Thomas R Tillis,99
Richard M Burr,97
Mark R Warner,95
"Angus S King, Jr.",77
Lamar Alexander,59
Richard Blumenthal,50
John Boozman,46
Dianne Feinstein,29
Christopher A Coons,27
Daniel S Sullivan,27
Tina Smith,24
Thad Cochran,22
"A. Mitchell Mcconnell, Jr.",21
Benjamin L Cardin,21
Tammy Duckworth,15
"William F Hagerty, Iv",14
Cory A Booker,13
John W Hickenlooper,12
"Joseph Manchin, Iii",12
Robert J Portman,11
Mike Rounds,10
Rafael E Cruz,10
Ron Wyden,10
Michael F Bennet,8
Roger F Wicker,8
Angus S King,8
Roy Blunt,7
Ladda Tammy Duckworth,7
Chris Van Hollen,7
Maria Cantwell,6
Jacklyn S Rosen,5
Michael  B Enzi,5
Timothy M Kaine,3
Jeanne Shaheen,3
Rafael Edward (Ted) Cruz,3
Cynthia M Lummis,2
Ron Johnson,2
John N Kennedy,2
Thomas Udall,2
John Cornyn,2
Roy D Blunt,2
Michael B Enzi,2
Roger W Marshall,1
Rand Paul,1
John A Barrasso,1
"Robert P Casey, Jr.",1
Michael D Crapo,1
Steve Daines,1
Jack Reed,1
Maria E Cantwell,1
Ronald L Wyden,1
Elizabeth Warren,1
Richard C Shelby,1
Tom S Udall,1
