senator,avg_number_of_transactions
"David A Perdue , Jr",433
Kelly Loeffler,279
Thomas H Tuberville,219
Rick Scott,76
Shelley M Capito,63
Sheldon Whitehouse,50
Thomas R Carper,49
William Cassidy,28
Gary C Peters,24
John Hoeven,23
Patrick J Toomey,21
Pat Roberts,20
Susan M Collins,19
Thomas R Tillis,17
"Jerry Moran,",14
"William F Hagerty, Iv",14
John W Hickenlooper,12
Ron L Wyden,11
John F Reed,11
"Angus S King, Jr.",10
James M Inhofe,9
Mark R Warner,8
Tina Smith,8
Richard M Burr,7
Patty Murray,6
Richard Blumenthal,5
John Boozman,5
Daniel S Sullivan,5
Lamar Alexander,4
Tammy Duckworth,4
Christopher A Coons,3
Jacklyn S Rosen,3
Benjamin L Cardin,2
Cory A Booker,2
"Joseph Manchin, Iii",2
Robert J Portman,2
Mike Rounds,2
Rafael E Cruz,2
Ladda Tammy Duckworth,2
Chris Van Hollen,2
Cynthia M Lummis,2
Dianne Feinstein,1
Thad Cochran,1
"A. Mitchell Mcconnell, Jr.",1
Ron Wyden,1
Michael F Bennet,1
Roger F Wicker,1
Angus S King,1
Roy Blunt,1
Maria Cantwell,1
Michael  B Enzi,1
Timothy M Kaine,1
Jeanne Shaheen,1
Rafael Edward (Ted) Cruz,1
Ron Johnson,1
John N Kennedy,1
Thomas Udall,1
John Cornyn,1
Roy D Blunt,1
Michael B Enzi,1
Roger W Marshall,1
Rand Paul,1
John A Barrasso,1
"Robert P Casey, Jr.",1
Michael D Crapo,1
Steve Daines,1
Jack Reed,1
Maria E Cantwell,1
Ronald L Wyden,1
Elizabeth Warren,1
Richard C Shelby,1
Tom S Udall,1
