industry,number_of_transactions
Fund,517
Entertainment,355
Drug Manufacturers—General,300
Oil & Gas Midstream,219
Software—Infrastructure,213
Banks—Diversified,200
Semiconductors,195
Consumer Electronics,173
Specialty Industrial Machinery,141
Specialty Chemicals,137
Banks—Regional,127
Internet Content & Information,127
Aerospace & Defense,123
Asset Management,116
Telecom Services,112
Household & Personal Products,110
Internet Retail,94
Oil & Gas E&P,89
Discount Stores,89
Apparel Retail,88
Auto Manufacturers,87
Semiconductor Equipment & Materials,75
Communication Equipment,75
Apparel Manufacturing,73
Integrated Freight & Logistics,72
Resorts & Casinos,70
Oil & Gas Integrated,69
Diagnostics & Research,65
Packaged Foods,65
Credit Services,64
Information Technology Services,63
Restaurants,62
Medical Devices,60
Utilities—Regulated Electric,55
Beverages—Non-Alcoholic,54
Packaging & Containers,54
Broadcasting,54
Healthcare Plans,53
Medical Instruments & Supplies,50
Specialty Retail,49
Electronic Components,48
Software—Application,43
Agricultural Inputs,43
Insurance—Diversified,42
Oil & Gas Equipment & Services,42
Insurance—Life,42
Biotechnology,38
Farm & Heavy Construction Machinery,35
Chemicals,34
Grocery Stores,33
REIT—Specialty,32
Airlines,30
Insurance—Property & Casualty,28
Oil & Gas Refining & Marketing,26
Steel,24
Financial Data & Stock Exchanges,24
Capital Markets,24
Beverages—Brewers,24
Railroads,23
Electronic Gaming & Multimedia,21
Department Stores,21
Scientific & Technical Instruments,19
Security & Protection Services,19
Home Improvement Retail,19
Footwear & Accessories,16
Computer Hardware,16
Confectioners,16
Staffing & Employment Services,15
Medical Distribution,15
Beverages—Wineries & Distilleries,14
Auto Parts,14
Auto & Truck Dealerships,14
Travel Services,14
Waste Management,14
Engineering & Construction,13
Aluminum,13
Leisure,13
Insurance—Specialty,13
REIT—Office,11
Industrial Distribution,11
Electrical Equipment & Parts,11
Rental & Leasing Services,11
Tobacco,11
Drug Manufacturers—Specialty & Generic,10
REIT—Retail,9
Health Information Services,9
Building Materials,8
Closed-End Fund - Foreign,8
REIT—Healthcare Facilities,8
Farm Products,8
Infrastructure Operations,8
Insurance Brokers,8
Pharmaceutical Retailers,8
Lodging,7
Medical Care Facilities,6
Other Industrial Metals & Mining,6
Personal Services,6
Tools & Accessories,6
Copper,6
Utilities—Diversified,6
Type,6
Residential Construction,5
Building Products & Equipment,4
REIT—Industrial,4
REIT—Diversified,4
Marine Shipping,4
Real Estate Services,3
Trucking,3
Utilities—Renewable,3
Recreational Vehicles,3
Gold,3
Consulting Services,3
Food Distribution,3
Specialty Business Services,2
"Furnishings, Fixtures & Appliances",2
REIT—Mortgage,2
Oil & Gas Drilling,2
Electronics & Computer Distribution,2
Utilities—Regulated Gas,2
cryptocurrency,1
Gambling,1
Other Precious Metals & Mining,1
Shell Companies,1
Silver,1
Closed-End Fund - Equity,1
Luxury Goods,1
Utilities—Regulated Water,1
Conglomerates,1
Metal Fabrication,1
REIT—Residential,1
Publishing,1
Coking Coal,1
Mortgage Finance,1
Business Equipment & Supplies,1
