senator,number_of_filing_within_tax_date
"David A Perdue , Jr",368
Thomas R Carper,179
Kelly Loeffler,155
Shelley M Capito,139
Sheldon Whitehouse,102
Pat Roberts,81
Ron L Wyden,59
Susan M Collins,58
Patrick J Toomey,44
Thomas H Tuberville,38
Rick Scott,30
Gary C Peters,25
John F Reed,25
James M Inhofe,24
Richard M Burr,21
John Hoeven,16
"A. Mitchell Mcconnell, Jr.",11
Mark R Warner,11
Lamar Alexander,11
Tina Smith,9
"Angus S King, Jr.",8
"William F Hagerty, Iv",8
Ron Wyden,7
John Boozman,6
William Cassidy,5
Thad Cochran,5
Ladda Tammy Duckworth,4
Dianne Feinstein,4
Richard Blumenthal,4
Maria Cantwell,4
"Joseph Manchin, Iii",3
Michael  B Enzi,3
Benjamin L Cardin,3
John W Hickenlooper,2
Cory A Booker,2
Cynthia M Lummis,1
"Jerry Moran,",1
Jacklyn S Rosen,1
Thomas Udall,1
Christopher A Coons,1
Mike Rounds,1
Tammy Duckworth,1
Steve Daines,1
Roger F Wicker,1
Jack Reed,1
Roy D Blunt,1
Ronald L Wyden,1
