senator,number_of_filing_within_tax_date_date_controlled
"David A Perdue , Jr",113
Thomas R Carper,52
Pat Roberts,44
Sheldon Whitehouse,28
Susan M Collins,28
Patrick J Toomey,25
Richard M Burr,21
Thomas H Tuberville,16
James M Inhofe,16
Gary C Peters,15
Shelley M Capito,15
Ron L Wyden,13
John Hoeven,13
John F Reed,12
Rick Scott,11
"A. Mitchell Mcconnell, Jr.",10
Mark R Warner,10
Lamar Alexander,10
"Angus S King, Jr.",6
John Boozman,6
Tina Smith,6
Kelly Loeffler,6
Thad Cochran,5
Dianne Feinstein,4
Richard Blumenthal,4
"William F Hagerty, Iv",3
William Cassidy,3
Michael  B Enzi,3
Ladda Tammy Duckworth,2
John W Hickenlooper,2
"Joseph Manchin, Iii",2
Benjamin L Cardin,2
Cynthia M Lummis,1
"Jerry Moran,",1
Jacklyn S Rosen,1
Thomas Udall,1
Christopher A Coons,1
Mike Rounds,1
Tammy Duckworth,1
Steve Daines,1
Roger F Wicker,1
Maria Cantwell,1
Ron Wyden,1
Cory A Booker,1
Jack Reed,1
Roy D Blunt,1
Ronald L Wyden,1
