ticker,number_of_transactions
AAPL,167
BAC,84
NFLX,78
MSFT,77
DIS,74
PFE,74
DISCA,74
T,70
FEYE,67
FDC,66
URBN,65
CZR,63
FB,56
AMZN,53
NVDA,50
WFC,48
GE,48
MRK,45
PG,44
DD,44
WPX,44
WMT,43
GM,43
BA,42
XOM,42
HBI,42
FDX,41
CVS,40
GPK,40
BWXT,39
SBUX,38
CSCO,38
GLW,38
LYV,38
ENTG,38
MOS,38
CVX,37
LGF-B,36
GILD,35
QCOM,34
JPM,34
RF,33
INTC,32
C,32
COST,32
KR,32
PEP,31
IBM,31
BMY,31
FOXA,31
KN,31
DVN,30
SPY,30
SLB,29
BAX,29
AMGN,27
AXTA,27
CBS,27
CELG,27
WMB,26
JNJ,25
VZ,25
BOIVF,23
WLK,23
BRK-B,22
PYPL,22
UPS,22
ABBV,22
VSM,22
WFM,22
HYH,22
BABA,21
OXY,21
DAL,21
KO,21
CAT,21
EMR,21
DHR,21
F,20
V,20
TRP,20
PFS,20
USB,19
TSLA,19
CMCSA,19
ENB,19
ORCL,19
PRU,19
GS,19
GOOG,18
AAN,18
COP,17
VFC,17
BIIB,17
KLAC,16
CLX,16
ECOM,16
CLF,16
DOW,16
NOC,16
KMI,16
M,16
PAA,16
TJX,16
USG,16
SYY,15
OKE,15
TRGP,15
REVB,15
WPZ,15
TMO,14
MDT,14
TGT,14
RTN,14
ALB,14
ABT,14
AA,13
NWL,13
HON,13
ETY,13
LOW,13
MU,13
CTSH,13
STT,13
GIS,13
UTX,13
AIG,13
NSRGY,13
ADI,13
DWDP,13
BIDU,13
AXLL,13
BLK,12
AMT,12
CB,12
MCD,12
NKE,12
UL,12
CIT,12
RPM,11
ICE,11
MA,11
FOX,11
MDLZ,11
ET,11
KHC,11
ETN,11
AXP,11
TAP,11
BUD,11
PKI,11
ESRX,11
ADT,11
GOOGL,10
AMAT,10
SYK,10
EPD,10
AGN,10
CME,10
WTW,10
CLR,10
WOOF,10
CVC,10
KORS,10
MMM,9
JCI,9
ADP,9
UNH,9
RDS-B,9
NWSA,9
BK,9
EXR,9
MPLX,9
AFL,9
MET,9
AM,9
BPL,9
MYL,9
NEE,9
CRMT,9
DISH,9
MCK,9
SSYS,8
GLD,8
GBIL,8
PBA,8
PSA,8
VIAC,8
ACA,8
UHAL,8
SU,8
PAGP,8
LNG,8
SHLX,8
SO,8
ETP,8
NVS,8
AVP,8
COF,8
LRCX,8
PX,8
CRM,8
WBA,8
TWTR,8
SE,8
X,7
CALX,7
CSX,7
SWKS,7
REGN,7
EBAY,7
CL,7
ITW,7
AVGO,7
EEM,7
BYND,7
HAL,7
MPC,7
MO,7
BKNG,7
EAF,7
SUN,7
BP,7
NSC,7
TEL,7
DFS,7
PANW,7
AIZ,7
GEL,7
WM,7
WES,7
IVZ,7
RHT,7
ISRG,7
HAS,7
VLP,7
RHHBY,7
IYT,7
UA,7
CAB,7
LNT,7
CY,7
EL,6
DEO,6
MCHP,6
SQ,6
WY,6
STZ,6
PSQ,6
SH,6
PSX,6
CEF,6
ARNA,6
AAL,6
ARCC,6
LMT,6
BAM,6
MSM,6
HIG,6
K,6
TRV,6
CR,6
BSTZ,6
REZI,6
IP,6
XBI,6
CCI,6
XLNX,6
UNP,6
TWX,6
XSD,6
NXPI,6
AMG,6
XLS-WI,6
ARE,5
QQQ,5
LUBFX,5
DG,5
HSY,5
FCX,5
DNKN,5
W,5
LDP,5
TXN,5
TCEHY,5
MAR,5
TRIP,5
VMC,5
EQM,5
BX,5
UN,5
MMP,5
HD,5
ADM,5
PODD,5
VOD,5
AZO,5
VWO,5
INFY,5
DE,5
WEC,5
PAYX,5
GD,5
ACN,5
CERN,5
LSCC,5
TCS,5
BCR,5
RNWK,5
QLIK,5
ALTR,5
ACT,5
KSU,5
KEYS,4
INTU,4
CRWD,4
FDN,4
FCPIX,4
GME,4
RODM,4
CAG,4
CRSP,4
WIW,4
CTVA,4
WDAY,4
IRBT,4
ALL,4
DHI,4
COUP,4
MBXIX,4
IRM,4
AMLP,4
ANTM,4
RL,4
HUN,4
PSXP,4
TFC,4
PNQI,4
KEY,4
CDLX,4
ROST,4
IR,4
FNKO,4
KSS,4
PPL,4
TSM,4
ANDX,4
LM09.SG,4
IQV,4
HOLX,4
LYB,4
KMX,4
APTV,4
XPO,4
HRS,4
DUK,4
CGNT,4
HACK,4
XON,4
Q,4
SPG,4
KMB,4
MMC,4
LLTC,4
WETF,4
SYF,4
PRGO,4
SRCL,4
ZBH,4
ZNGA,4
ASIX,4
A,4
EMC,4
ETE,4
TBF,4
LQDT,4
CMRE,4
ACE,4
LNKD,4
APD,3
WAL,3
AME,3
WW,3
MTUM,3
FIMKX,3
GEMIX,3
ADBE,3
SNA,3
IEX,3
MTCH,3
UBSI,3
STX,3
FEMS,3
AEP,3
PII,3
SBIO,3
NTRP,3
OHI,3
LGI,3
SRVR,3
BAH,3
RTH,3
NTLA,3
PTMC,3
FTV,3
VAC,3
OSK,3
TROW,3
RMD,3
MPW,3
GLAD,3
TSN,3
TCP,3
PM,3
GDV,3
NVO,3
FIS,3
CAH,3
CGNX,3
SIEGY,3
DCP,3
BFAM,3
UAA,3
EXC,3
KTB,3
LVS,3
VRTX,3
PPG,3
CUTR,3
RSPP,3
BOX,3
MGA,3
FE,3
GWW,3
EV,3
BDX,3
MS,3
CHK,3
COHR,3
WPC,3
FANUY,3
CHRW,3
TMUS,3
WF,3
NGG,3
BHF,3
DVMT,3
NFX,3
TUP,3
MXIM,3
BGS,3
APA,3
LB,3
YUM,3
VLO,3
DPM,3
WCN,3
CMI,3
CP,3
SPY160219P00180000,3
KLXI,3
CHL,3
NGLS,3
ZTS,3
PCAR,3
TOLLX,3
DVFAX,3
BEAV,3
AJG,3
DECK,2
CHE,2
BHP,2
ATHM,2
LMRK,2
IVV,2
ABYIX,2
CFA,2
DGRS,2
FINX,2
NXTG,2
WST,2
WAT,2
VMW,2
DGX,2
FTNT,2
EA,2
CE,2
BIO,2
IWM,2
NUAN,2
STAG,2
XCAPX,2
VIAV,2
EVOP,2
DDOG,2
AJRD,2
ZM,2
AIV,2
PLD,2
GOLD,2
MANT,2
CONE,2
ATVI,2
PTLC,2
PTNQ,2
BBY,2
NVAX,2
TT,2
AMWD,2
KWEB,2
NKLA,2
SIL,2
FXI,2
LHX,2
APO,2
BERY,2
UBER,2
QSR,2
IDV,2
CEQP,2
FHB,2
NWS,2
LLY,2
QLEIX,2
DRI,2
IWD,2
PKG,2
HPQ,2
AGCO,2
CTXS,2
DOCU,2
WDC,2
RTX,2
PGR,2
HELE,2
IPHI,2
VTR,2
TDG,2
ILMN,2
LULU,2
DLR,2
HQL,2
NDAQ,2
3V64.TI,2
JNK,2
0QZI.IL,2
AKAM,2
BBT,2
FRT,2
MALOX,2
IWF,2
HBAN,2
SHW,2
DVA,2
BRKB,2
LH,2
KDP,2
SFTBY,2
SRE,2
RBGLY,2
PDRDY,2
LRLCY,2
MRAAY,2
MCO,2
KYCCF,2
HLT,2
GDDY,2
CABGY,2
ASML,2
AZN,2
AHKSY,2
XSLV,2
ANCX,2
ZAYO,2
EDIT,2
LIN,2
CFR,2
INCY,2
MSTY.PA,2
ON,2
LEA,2
TBT,2
CAPL,2
UNFI,2
BTO,2
ST,2
TCMD,2
RCL,2
BNPQY,2
ES,2
CHKP,2
IHE,2
RYAAY,2
HXL,2
TSCO,2
AYI,2
OFC,2
SGAPY,2
SSDOY,2
RGC,2
PCLN,2
SJM,2
PEY,2
LW,2
FLR,2
WRK,2
TEVA,2
STI,2
SNY,2
SABR,2
RAI,2
MTB,2
KAR,2
GSK,2
ETR,2
CMA,2
DLPH,2
BIVV,2
VIAB,2
AQFH,2
ARW,2
TMK,2
MTD,2
CTL,2
MDU,2
HDS,2
XLI,2
AEE,2
SHY,2
IRET,2
HOT,2
ITC,2
KRFT,2
GPRO,2
NGIPX,2
ATML,2
CMCSK,2
XRT,2
TU,2
IBKC,2
ESV,2
XLU,2
MIK,2
JCOM,2
NICE,2
BMR,2
NOG,2
MDDVX,2
HSIC,2
ROP,2
VIXY,2
NOV,2
LGP,2
VRX,2
HMC,2
ZMH,2
MPWR,1
GNRC,1
EXP,1
CTAS,1
CABO,1
BKE,1
ALLE,1
BTC,1
J,1
NRDY,1
SSBK,1
COR,1
PEGA,1
XLY,1
DTD,1
RDSA,1
PINS,1
SNAP,1
O,1
IJS,1
FAST,1
ALGN,1
SDOG,1
TDY,1
ONEQ,1
VEEV,1
TER,1
SIVB,1
SEIC,1
ROK,1
ODFL,1
NDSN,1
NTES,1
IDXX,1
GGG,1
GNTX,1
EW,1
CNR,1
FDSWX,1
OGN,1
NOK,1
ETHE,1
GBTC,1
FL4.SG,1
CMG,1
QRTEA,1
TTD,1
PTON,1
NTRA,1
GAN,1
TRIT,1
CWEN,1
VPU,1
QRTEP,1
CARG,1
DGNR,1
PENN,1
GGSM,1
CTAA,1
LMND,1
VRM,1
LMACU,1
SHOP,1
AQN,1
OTIS,1
CARR,1
VTRS,1
NTAP,1
GSMYX,1
PLUG,1
EXPI,1
SNPS,1
ERIC,1
MRVL,1
BRKR,1
ACIW,1
XAR,1
GMAB,1
MAXR,1
PAGS,1
SI,1
PAAS,1
RIO,1
IJR,1
ATOAX,1
SPOT,1
AXS,1
HASI,1
AY,1
DLS,1
GDXJ,1
PRJAX,1
DPZ,1
BLL,1
BRY,1
VEA,1
VOO,1
CAIFX,1
FRIAX,1
HCA,1
SOJA,1
URI,1
BIF,1
GRUB,1
GEM,1
CIBR,1
QTEC,1
IAT,1
OAYIX,1
FPL,1
BOTZ,1
IWN,1
CFG,1
KNX,1
FITB,1
TEX,1
SAP,1
JD,1
NNVC,1
GLNCY,1
DXCM,1
WCMIX,1
EEFT,1
ORLY,1
ROKU,1
KL,1
BMEZ,1
BIV,1
VFIJX,1
TGBAX,1
GTX,1
TWO,1
CVET,1
GTCSX,1
TSCIX,1
VPMAX,1
ABB,1
SMG,1
RDSA.AS,1
WEX,1
VGR,1
TOT,1
APC,1
NPSNY,1
SAFRY,1
ESLOY,1
EADSY,1
AAGIY,1
PRNHX,1
FLMVX,1
FCNTX,1
CHTR,1
WGP,1
MKC,1
AX,1
TNTOF,1
GFAFX,1
AET,1
SHECY,1
AON,1
WAB,1
IIN,1
PTEN,1
IBM.MX,1
FDS,1
VGK,1
IYE,1
CLB,1
AL,1
RYT,1
RDS-A,1
JETS,1
ENTL,1
BBL,1
LVLT,1
^MWE,1
^RGP,1
PHLD,1
SOUHY,1
MAT,1
HALO,1
DD-PA,1
ZIOP,1
CC,1
TD,1
LVMUY,1
CMPGY,1
BASFY,1
AXAHY,1
VTKLY,1
SMECF,1
NPSND,1
JKHY,1
SCG,1
HRL,1
NPK,1
RHI,1
AEX.MU,1
DPS,1
ZNGA.SW,1
MCC,1
PDM,1
MDC,1
POT,1
VEVIX,1
AGU,1
TLLP,1
FL,1
YUMC,1
XEL,1
NEE-PC,1
AWK,1
OKS,1
VSAT,1
JWN,1
IAI,1
SCCO,1
HSBC,1
BUNT,1
BBU,1
AFTEX,1
UA-C,1
SHPG,1
BIN,1
WTR,1
CPGX,1
SYY.SG,1
XER.BE,1
TM,1
YACKX,1
RRC,1
SWN,1
NCR,1
ADT.F,1
IONS,1
NUE,1
DISCK,1
GAS,1
SBUX.SW,1
NBL,1
NWN,1
FANG,1
MSACX,1
VADDX,1
WSTMX,1
VMIIX,1
VSMIX,1
ACSDX,1
MGEMX,1
BUNT-RP,1
CVG,1
SMEZ,1
AR,1
SLY,1
DTE,1
PRPFX,1
LINE,1
XLV,1
PCY,1
WAGE,1
VSI,1
TYPE,1
TXRH,1
TUMI,1
TTC,1
TNGO,1
THS,1
THRM,1
TECH,1
TCBI,1
SXT,1
SWI,1
SSB,1
SQI,1
SPSC,1
SMTC,1
SIGI,1
SHOO,1
SGY,1
RRTS,1
ROLL,1
RBA,1
RAVN,1
PRLB,1
PRIM,1
PRAA,1
PRA,1
POWI,1
PLT,1
PLKI,1
PEB,1
PBH,1
OMCL,1
NSR,1
MNRO,1
MG,1
MFRM,1
MDCA,1
MASI,1
LSTR,1
LOCK,1
LL,1
KWR,1
JJSF,1
IPCM,1
ICUI,1
ICON,1
HUBG,1
IART,1
HLX,1
HF,1
HEI,1
HCSG,1
GMED,1
FNGN,1
FMBI,1
FET,1
EVR,1
EPAY,1
EGBN,1
DRQ,1
DIOD,1
DFRG,1
CYBX,1
CVLT,1
CTRL,1
CTCT,1
CRZO,1
CMN,1
CLC,1
CHEF,1
CASY,1
BECN,1
BCPC,1
ATRO,1
AMSG,1
ALE,1
AKRX,1
AFSI,1
ABCO,1
AAT,1
AAON,1
COH,1
WASCX,1
RYN,1
CEA,1
BTF,1
MFCDX,1
TFX,1
PCP,1
APH,1
OLN,1
COF-PP,1
CDK,1
ESS,1
HYT,1
ISIS,1
IJH,1
RSP,1
IXP,1
SDY,1
DWX,1
ILF,1
EPP,1
MDP,1
RYAM,1
BTE,1
BWA,1
ECL,1
EPR,1
ENLC,1
GRMN,1
HCC,1
HUB-B,1
HTGC,1
LECO,1
OGS,1
PGH,1
PBCT,1
PL,1
STE,1
WASH,1
MLPRX,1
LNC,1
NTI,1
LMGEX,1
TCAP,1
SBGI,1
ROC,1
PNM,1
PRE,1
HFC,1
FNF,1
CMO,1
AIT,1
DBP,1
YHOO,1
VVC,1
VR,1
UMPQ,1
TAL,1
PWE,1
PACW,1
MGRC,1
MTSC,1
LDR,1
HTS,1
HNI,1
FLY,1
FMER,1
FFBC,1
CYS,1
CNSL,1
CPSI,1
CTBI,1
CLNY,1
CHCO,1
CBT,1
ALV,1
ADC,1
VDC,1
XRAY,1
KMP,1
CG,1
BHI,1
SCHW,1
LBTYK,1
LBTYA,1
WIN,1
JPJQL,1
VAR,1
SJR,1
EC,1
RIG,1
BFK,1
SYMC,1
