ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0QZI.IL,,,,,,,,2,,
3V64.TI,,,,,,,,2,,
A,,,1,2,1,,,,,
AA,,,,,,,,,1,12
AAGIY,,,,,,,,1,,
AAL,,,,,,,,,6,
AAN,,,,17,1,,,,,
AAON,,,,1,,,,,,
AAPL,,,14,13,22,17,25,16,49,11
AAT,,,,1,,,,,,
ABB,,,,,,,,1,,
ABBV,,,4,4,,1,2,1,10,
ABCO,,,,1,,,,,,
ABT,,,,3,3,3,2,1,2,
ABYIX,,,,,,,,,1,1
ACA,,,,,,,3,4,1,
ACE,,,3,1,,,,,,
ACIW,,,,,,,,,1,
ACN,,,,1,1,1,2,,,
ACSDX,,,,1,,,,,,
ACT,,,3,2,,,,,,
ADBE,,,,,,,,,,3
ADC,,,1,,,,,,,
ADI,,,,,,7,4,2,,
ADM,,,,,,,,,5,
ADP,,,,1,1,,2,,3,2
ADT,,,,,11,,,,,
ADT.F,,,,,1,,,,,
AEE,,,,1,1,,,,,
AEP,,,1,,,,,,1,1
AET,,,,,,,1,,,
AEX.MU,,,,,1,,,,,
AFL,,,1,,1,,3,,4,
AFSI,,,,1,,,,,,
AFTEX,,,,1,,,,,,
AGCO,,,1,,,,,,1,
AGN,,,,,3,4,2,,1,
AGU,,,,,,1,,,,
AHKSY,,,,,,1,,1,,
AIG,,,3,1,,,1,1,7,
AIT,,,1,,,,,,,
AIV,,,,,,,,,2,
AIZ,,,,,,,,,7,
AJG,,,3,,,,,,,
AJRD,,,,,,,,,1,1
AKAM,,,,,,1,,1,,
AKRX,,,,1,,,,,,
AL,,,,,,,1,,,
ALB,,,,,,,1,10,3,
ALE,,,,1,,,,,,
ALGN,,,,,,,,,,1
ALL,,,1,,,,1,,2,
ALLE,,,,,,,,,,1
ALTR,,,2,3,,,,,,
ALV,,,1,,,,,,,
AM,,,,2,2,,,5,,
AMAT,,,,1,,,,,6,3
AME,,,,,,1,,,,2
AMG,,,,2,4,,,,,
AMGN,,,2,3,6,6,4,1,5,
AMLP,,,3,,,,,,1,
AMSG,,,,1,,,,,,
AMT,,,4,,1,3,,2,2,
AMWD,,,,,,,,,2,
AMZN,,,4,2,2,6,12,6,21,
ANCX,,,,,,1,,1,,
ANDX,,,,,,2,1,1,,
ANTM,,,,1,,,,2,1,
AON,,,,,,,1,,,
APA,,,1,,,2,,,,
APC,,,,,,,,1,,
APD,,,,,,,2,,,1
APH,,,1,,,,,,,
APO,,,,,,,,,2,
APTV,,,,,,,4,,,
AQFH,,,,,,2,,,,
AQN,,,,,,,,,,1
AR,,,,1,,,,,,
ARCC,,,1,,,3,,,2,
ARE,,,1,,,,,,3,1
ARNA,,,,,,,,,6,
ARW,,,,1,,1,,,,
ASIX,,,,,4,,,,,
ASML,,,,,,1,,1,,
ATHM,,,,,,,,,,2
ATML,,,1,1,,,,,,
ATOAX,,,,,,,,,1,
ATRO,,,,1,,,,,,
ATVI,,,,,,,,1,1,
AVGO,,,,,,2,,1,3,1
AVP,,,,1,,3,2,2,,
AWK,,,,,1,,,,,
AX,,,,,,,,1,,
AXAHY,,,,,,1,,,,
AXLL,,,,2,11,,,,,
AXP,,,2,6,2,,,1,,
AXS,,,,,,,,,1,
AXTA,,,,,,15,8,,4,
AY,,,,,,,,,1,
AYI,,,,1,,,1,,,
AZN,,,,,,1,,1,,
